crop,symptoms_text,disease,label,severity,treatment,prevention,source,crop_hi,disease_hi,symptoms_hi,treatment_hi,disease_mr,symptoms_mr,treatment_mr
cotton,"leaf edges turn yellow then reddish brown and curl downwards like a cup, small green wedge shaped insects that walk sideways under leaves",Jassid (leafhopper),cotton_jassid,moderate,Spray only when there are 2-3 jassids per leaf on many plants: flonicamid 50 WG 0.3 g per litre or imidacloprid 17.8 SL 0.25 ml per litre.,Choose hairy leaf jassid tolerant varieties|Imidacloprid treated seed protects the first 40-50 days|Avoid excess nitrogen which makes leaves soft and attractive,"TNAU Agritech Portal, Crop Protection: Cotton (agritech.tnau.ac.in); ICAR-CICR",,,,,,,
cotton,"cotton leaves red at the edges and curling down, crop looks scorched, tiny green hoppers underneath",Jassid (leafhopper),cotton_jassid,moderate,,,,,,,,,,
cotton,"angular water soaked spots on leaves that turn dark brown to black, spots run along the veins, black lesions on stem and boll rot",Bacterial blight,cotton_bacterial_blight,moderate,Spray copper oxychloride 3 g per litre plus streptocycline 0.1 g per litre at the first sign and repeat after 10 days.,Use acid delinted certified seed|Rotate with non cotton crops for a season|Collect and burn infected plant debris after harvest,"TNAU Agritech Portal, Crop Protection: Cotton (agritech.tnau.ac.in)",,,,,,,
cotton,black angular spots on cotton leaves and black arm like patches on stems after rains,Bacterial blight,cotton_bacterial_blight,moderate,,,,,,,,,,
tomato,"dark brown spots with a ring pattern like a target on the older lower leaves, yellowing around the spots, leaves drop",Early blight,tomato_early_blight,moderate,Remove the worst affected leaves. Spray mancozeb 75 WP 2.5 g per litre; if it keeps spreading alternate with azoxystrobin 23 SC 1 ml per litre.,"Do not grow tomato or potato in the same bed every season|Stake plants and keep lower leaves off the soil|Water at the base, not over the leaves|Use healthy seedlings","TNAU Agritech Portal, Horticulture Crop Protection: Tomato (agritech.tnau.ac.in)",,,,,,,
tomato,"target like ring spots on tomato leaves starting from the bottom of the plant, spots also on stems and fruit base",Early blight,tomato_early_blight,moderate,,,,,,,,,,
tomato,"large water soaked dark patches on leaves and stems during cool cloudy wet weather, white fungal ring under the leaf, fruits get greasy brown patches, spreads within days",Late blight,tomato_late_blight,high,Act fast: remove infected parts and spray cymoxanil 8% + mancozeb 64% WP 3 g per litre; repeat after 10 days. The disease slows down in dry sunny weather.,Start protective mancozeb 2.5 g per litre sprays when the weather turns cool and cloudy|Avoid overhead evening irrigation|Space plants for air flow|Destroy volunteer potato and tomato plants nearby,ICAR-CPRI late blight management studies (cpri.icar.gov.in); TNAU Agritech Portal,,,,,,,
tomato,"tomato leaves turning black and rotting fast in foggy weather, brown firm patches spreading on green fruits",Late blight,tomato_late_blight,high,,,,,,,,,,
tomato,"young leaves curl upward become small yellow and crinkled, plant stops growing and gives few fruits, whiteflies under leaves",Tomato leaf curl virus,tomato_leaf_curl_virus,high,"No spray cures the virus. Remove and bury infected plants as soon as they are seen, and control whitefly with yellow sticky traps and neem oil 5 ml per litre.",Raise seedlings under a fine nylon net|Grow leaf curl tolerant hybrids|Hang yellow sticky traps from nursery stage itself|Keep the field and borders weed free,"IIHR / TNAU Agritech Portal, tomato leaf curl management (agritech.tnau.ac.in)",,,,,,,
tomato,"tomato plants stunted with small curled yellow leaves and almost no fruit set, tiny white insects flying around",Tomato leaf curl virus,tomato_leaf_curl_virus,high,,,,,,,,,,
tomato,"round holes bored in fruits, caterpillar feeding with its head inside the fruit and body outside, damaged fruits rot and drop",Tomato fruit borer,tomato_fruit_borer,high,Hand pick and destroy damaged fruits and caterpillars. Spray HaNPV 250 LE 1 ml per litre or Bt 2 g per litre in the evening while larvae are small; if damage continues use chlorantraniliprole 18.5 SC 0.3 ml per litre. Keep a 5-7 day gap between the last spray and picking.,Plant a row of marigold around tomato as a trap crop - the moths prefer laying eggs on it|Set pheromone traps 4-5 per acre|Put up bird perches|Do not repeat the same insecticide again and again,TNAU Agritech Portal; ICAR-NBAIR biocontrol recommendations (nbair.res.in),,,,,,,
tomato,"worms making holes in tomatoes and eating them from inside, half the fruit spoiled",Tomato fruit borer,tomato_fruit_borer,high,,,,,,,,,,
tomato,"plant wilts suddenly while still green without yellowing, cut stem dipped in a glass of clean water releases milky white threads",Bacterial wilt,tomato_bacterial_wilt,high,No chemical cures it. Remove wilted plants along with root soil. Drench the remaining beds with bleaching powder solution and do not move soil from the affected patch to other beds.,"Do not grow tomato, chilli, brinjal or potato in that field for 2-3 seasons|Use raised beds with good drainage|Use resistant varieties or grafted seedlings where available|Wash tools after working in an infected patch","TNAU Agritech Portal, Horticulture Crop Protection: Tomato (agritech.tnau.ac.in); IIHR",,,,,,,
tomato,"green tomato plants drooping and dying one by one though there is water in the field, roots look brown inside",Bacterial wilt,tomato_bacterial_wilt,high,,,,,,,,,,
tomato,"nursery seedlings rot at the soil line, topple over and die in patches, worse in wet crowded beds",Damping off,tomato_damping_off,moderate,Drench affected nursery beds with copper oxychloride 3 g per litre. Remove dead seedlings and reduce watering at once.,Raise the nursery on beds 10-15 cm high|Treat seed with Trichoderma viride 4 g per kg or captan 2 g per kg|Do not sow too thick|Water in the morning only,"TNAU Agritech Portal, nursery disease management (agritech.tnau.ac.in)",,,,,,,
tomato,tomato seedlings falling over at ground level in the nursery with a rotten thin stem,Damping off,tomato_damping_off,moderate,,,,,,,,,,
potato,"dark water soaked patches at leaf tips and edges spreading very fast in cool cloudy drizzly weather, white fungal ring under the leaf, blackened stems and a rotten smell in the field",Late blight,potato_late_blight,high,"Spray cymoxanil 8% + mancozeb 64% WP 3 g per litre immediately and repeat after 10 days. If the tops are badly hit near maturity, cut and remove the haulm so the spores do not wash down and rot the tubers.",Begin protective sprays of mancozeb 75 WP 2.5 g per litre as soon as fog and cloudy weather set in|Plant healthy certified seed tubers|Make high ridges so rain cannot wash spores onto tubers|Follow the late blight alerts issued by your KVK or agriculture department,ICAR-CPRI late blight spray schedules (cpri.icar.gov.in),,,,,,,
potato,"potato leaves turning black and rotting within a few days of foggy weather, tubers later show reddish brown dry rot under the skin",Late blight,potato_late_blight,high,,,,,,,,,,
potato,"angular dark brown spots with clear concentric rings on the older lower leaves, leaves yellow and dry from the bottom of the plant upwards",Early blight,potato_early_blight,moderate,Spray mancozeb 75 WP 2.5 g per litre at the first sign and repeat after 10-12 days if the spots increase.,Use healthy seed tubers|Keep the crop well fed and watered - weak plants get early blight first|Rotate with cereals|Destroy infected haulm after harvest,"ICAR-CPRI; TNAU Agritech Portal, Crop Protection: Potato (agritech.tnau.ac.in)",,,,,,,
potato,"ring patterned brown spots on lower potato leaves in warm weather, plant drying from below",Early blight,potato_early_blight,moderate,,,,,,,,,,
potato,"hard black soil like crusts stuck on the tuber skin that do not wash off, sprouts from such tubers rot or carry brown sunken cankers",Black scurf,potato_black_scurf,moderate,"Affected tubers are still safe to eat but must not be used as seed. For seed lots, dip tubers in 3% boric acid solution for 30 minutes and dry in shade before storing or planting.",Buy certified seed tubers|Rotate potato with cereals|Harvest soon after maturity - the longer tubers sit in soil the more scurf forms,ICAR-CPRI seed tuber health recommendations (cpri.icar.gov.in),,,,,,,
potato,black hard specks like stuck mud on potato tubers which do not rub off after washing,Black scurf,potato_black_scurf,moderate,,,,,,,,,,
potato,"small green insects under potato leaves and sticky leaf surface, plants grown from own saved seed are weak with rolled or mottled leaves",Aphids and viral degeneration,potato_aphid_virus,moderate,"Spray imidacloprid 17.8 SL 0.25 ml per litre when aphids build up, especially in a crop kept for seed.",Replace your own saved seed with certified seed every 2-3 years|In seed crops cut the haulm when aphid counts rise as advised for your area|Pull out weak mosaic and leaf roll plants as soon as seen,ICAR-CPRI seed plot technique (cpri.icar.gov.in),,,,,,,
potato,"potato plants from home saved seed growing weak with curled rolled leaves and low yield, small insects on the underside of leaves",Aphids and viral degeneration,potato_aphid_virus,moderate,,,,,,,,,,
potato,"thin winding tunnels inside leaves, small caterpillars boring into tubers in the field and in the store, black droppings at the tunnel mouth",Potato tuber moth,potato_tuber_moth,moderate,"In the field, earth up immediately so no tuber stays exposed. In the store, keep tubers in thin layers and cover them with a 2 cm layer of dried neem or lantana leaves.",Never leave harvested tubers lying in the field overnight|Store only sound undamaged tubers in a cool dark airy place|Keep ridges high so tubers remain covered with soil,"TNAU Agritech Portal, Crop Protection: Potato (agritech.tnau.ac.in); ICAR-CPRI",,,,,,,
potato,"small worms found in stored potatoes with tunnels and dirt inside, moths flying in the potato store",Potato tuber moth,potato_tuber_moth,moderate,,,,,,,,,,
chilli,"leaves curl upward like a boat, become crinkled and brittle, tiny slender insects run inside leaf folds, flower buds drop and the plant looks bushy and stunted",Thrips leaf curl,chilli_thrips,high,Spray fipronil 5 SC 2 ml per litre or spinosad 45 SC 0.3 ml per litre covering the growing tips; repeat after 15 days if fresh curling continues.,Do not grow chilli after chilli in the same bed|Hang blue sticky traps for thrips|Light sprinkler irrigation raises humidity and checks thrips|Avoid excess nitrogen,ICAR-IIHR and TNAU chilli thrips recommendations (agritech.tnau.ac.in); Indian Journal of Entomology field trials,,,,,,,
chilli,"chilli leaves curling up and crinkling, buds falling, plant stunted like churda murda",Thrips leaf curl,chilli_thrips,high,,,,,,,,,,
chilli,"leaves curl downward with long leaf stalks, turn dark green and shiny, growing point stops, no insect visible to the naked eye",Yellow mite,chilli_mite,moderate,Spray wettable sulphur 80 WP 3 g per litre or spiromesifen 22.9 SC 1 ml per litre on the underside of leaves; repeat after 10 days.,"Remember: downward curl means mites, upward curl means thrips - identify before spraying|Avoid dusty tracks beside the crop|Do not overuse synthetic pyrethroids which flare mites","TNAU Agritech Portal, Horticulture Crop Protection: Chilli (agritech.tnau.ac.in)",,,,,,,
chilli,"chilli leaves bending down and turning dark shiny green, plant tip growth stopped, no pest seen",Yellow mite,chilli_mite,moderate,,,,,,,,,,
chilli,"ripe fruits develop round sunken black spots with rings, fruits rot and fall, twig tips dry backwards from the top",Anthracnose fruit rot and dieback,chilli_anthracnose,high,"Remove and destroy infected fruit. Spray azoxystrobin 23 SC 1 ml per litre or carbendazim 12% + mancozeb 63% WP 2.5 g per litre at flowering and again at fruit formation, 2-3 sprays 15 days apart.",Take seed only from healthy fruits or buy certified seed|Treat seed with Trichoderma viride 4 g per kg or thiram 2 g per kg|Avoid overhead irrigation during fruiting|Prune and burn dried infected twigs,"TNAU Agritech Portal; published Indian field trials on chilli anthracnose fungicides (azoxystrobin, carbendazim+mancozeb)",,,,,,,
chilli,"black round sunken spots on red chilli fruits which spread and spoil the whole fruit, branch tips drying",Anthracnose fruit rot and dieback,chilli_anthracnose,high,,,,,,,,,,
chilli,"chilli nursery seedlings rot at the base and fall over in patches, more where beds stay wet",Damping off,chilli_damping_off,moderate,Drench the nursery bed with copper oxychloride 3 g per litre and stop heavy watering. Remove dead seedlings.,Raise seedlings on raised beds or in trays|Treat seed with Trichoderma viride 4 g per kg|Sow thin|Water only in the morning,"TNAU Agritech Portal, nursery disease management (agritech.tnau.ac.in)",,,,,,,
chilli,young chilli plants dying in the nursery with thin rotten stems near the soil,Damping off,chilli_damping_off,moderate,,,,,,,,,,
maize,"ragged holes and window like patches on whorl leaves, wet sawdust like droppings inside the funnel, caterpillar with an inverted Y mark on its head",Fall armyworm,maize_fall_armyworm,high,"For small larvae drop dry sand or soil mixed with lime into the funnel. If more than 1 in 10 plants show fresh damage, spray emamectin benzoate 5 SG 0.4 g per litre or spinetoram 11.7 SC 0.5 ml per litre directly into the whorl in the evening.",Set pheromone traps 4 per acre from the first week|Sow on time and together with neighbouring fields|Intercrop maize with pulses|Put up bird perches - birds pick larvae from whorls,ICAR fall armyworm advisory; Indian field efficacy trials (Florida Entomologist 2020; Maharashtra/TNAU trials),,,,,,,
maize,"young maize funnel eaten with big ragged holes and moist frass like wet sawdust, worms hide deep in the whorl during the day",Fall armyworm,maize_fall_armyworm,high,,,,,,,,,,
maize,"central shoot of young maize dries into a dead heart, rows of small shot holes appear across the leaf when it unfolds",Maize stem borer,maize_stem_borer,moderate,Spray chlorantraniliprole 18.5 SC 0.3 ml per litre into the whorls 10-15 days after germination in borer prone areas. Remove and destroy dead hearts.,Sow early|Release Trichogramma egg parasitoid cards where available|Remove and destroy stubble after harvest|Intercrop with cowpea,"TNAU Agritech Portal, Crop Protection: Maize (agritech.tnau.ac.in)",,,,,,,
maize,holes in straight lines across maize leaves and some plants with dried central shoots,Maize stem borer,maize_stem_borer,moderate,,,,,,,,,,
maize,long boat or cigar shaped grey brown dried patches on leaves starting from the lower leaves and moving up,Turcicum leaf blight,maize_turcicum_blight,moderate,Spray mancozeb 75 WP 2.5 g per litre at first appearance and repeat after 10-12 days if it spreads.,Grow tolerant hybrids|Rotate with non cereal crops|Bury or compost infected residue instead of leaving it on the field,"TNAU Agritech Portal, Crop Protection: Maize (agritech.tnau.ac.in)",,,,,,,
maize,"big long grey brown dry lesions on maize leaves, lower leaves drying first",Turcicum leaf blight,maize_turcicum_blight,moderate,,,,,,,,,,
sugarcane,"third and fourth leaves dry first then the whole top, split cane shows red inside with white patches running crosswise, sour alcohol like smell",Red rot,sugarcane_red_rot,high,"No spray can cure red rot. Cut and burn affected clumps along with roots, and stop irrigation water flowing from the affected plot to healthy ones. Do not take a ratoon crop from an infected field.",Plant resistant varieties recommended by your sugar mill or university|Take setts only from healthy disease free fields|Dip setts in carbendazim 0.1% solution before planting|Rotate the field with rice or green manure for a season,"ICAR-Sugarcane Breeding Institute, Coimbatore (sbi.icar.gov.in); TNAU Agritech Portal",,,,,,,
sugarcane,"cane drying from the top, inside of the stalk red with white cross bands and a smell like spoiled toddy",Red rot,sugarcane_red_rot,high,,,,,,,,,,
sugarcane,"dead hearts in 1-3 month old cane that pull out easily and smell rotten, small holes with frass near the base of shoots",Early shoot borer,sugarcane_early_shoot_borer,moderate,Apply chlorantraniliprole 0.4 GR granules about 7.5 kg per acre near the cane rows and earth up. Remove and destroy dead hearts.,Cover the soil between rows with trash mulch - the moth avoids mulched fields|Plant early before hot weather|Earth up at the right stage|Release Trichogramma cards where available,"TNAU Agritech Portal, Crop Protection: Sugarcane (agritech.tnau.ac.in)",,,,,,,
sugarcane,young sugarcane shoots drying in the middle and coming out with a bad smell when pulled,Early shoot borer,sugarcane_early_shoot_borer,moderate,,,,,,,,,,
sugarcane,"a long black whip like structure comes out of the growing point of the cane instead of leaves, covered with black powder",Smut,sugarcane_smut,moderate,"Cover the black whip with a bag before it sheds powder, pull out the whole clump and burn it. Do not keep a ratoon of a badly affected field.",Treat setts in hot water at 50 degrees C for 2 hours (or moist hot air at the mill) before planting|Use healthy seed cane from disease free nurseries|Grow resistant varieties,"ICAR-Sugarcane Breeding Institute, Coimbatore (sbi.icar.gov.in); TNAU Agritech Portal",,,,,,,
sugarcane,black whip like shoot growing from the top of sugarcane covered in dark dust,Smut,sugarcane_smut,moderate,,,,,,,,,,
sugarcane,"dead heart in grown cane that does not pull out easily, tunnels in the midrib of top leaves, side shoots sprout near the top giving a bunchy look",Top borer,sugarcane_top_borer,moderate,"Apply chlorantraniliprole 18.5 SC 375 ml per hectare as soil drench near the rows at the recommended timing for your state, and cut out and destroy affected tops.",Remove egg masses seen on the underside of top leaves|Release Trichogramma or Isotima parasitoids where the department supplies them|Avoid excess nitrogen late in the season,"TNAU Agritech Portal, Crop Protection: Sugarcane (agritech.tnau.ac.in)",,,,,,,
sugarcane,top of the cane dried with bunchy side shoots and tunnels seen in the leaf midribs,Top borer,sugarcane_top_borer,moderate,,,,,,,,,,
